,,,,June,July,August,September,October,November,December,January,February,March,April,May,,,June,July,August,September,October,November,December,January,February,March,April,May
,Revenue,IDR,"20,000,000,000","747,322,637","1,053,990,371","2,172,015,710","1,126,980,624","738,815,699","1,270,657,530","3,198,333,958","3,625,494,166","1,733,983,032","1,105,292,693","1,186,543,335","2,040,570,245",,,"747,322,637","1,053,990,371","2,172,015,710","1,126,980,624","738,815,699","1,270,657,530","3,198,333,958","3,625,494,166","1,733,983,032","1,105,292,693","1,186,543,335","2,040,570,245"
,MPU,,"444,445","16,607","23,422","48,267","25,044","16,418","28,237","71,074","80,567","38,533","24,562","26,368","45,346",,,"13,588","19,163","39,491","20,491","13,433","23,103","58,152","65,918","31,527","20,096","21,574","37,101"
,ARPU,IDR,"45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","44,999","45,000",,,"54,999","55,001","55,000","54,999","55,000","55,000","55,000","55,000","55,000","55,001","54,999","55,000"
,MAU,,"17,777,777","664,287","936,880","1,930,681","1,001,761","656,725","1,129,473","2,842,964","3,222,661","1,541,318","982,482","1,054,705","1,813,840",,,"388,220","547,527","1,128,320","585,444","383,800","660,082","1,661,472","1,883,374","900,770","574,178","616,386","1,060,036"
,Register,,"8,631,393","322,522","454,870","937,376","486,371","318,850","548,377","1,380,304","1,564,653","748,334","477,011","512,076","880,649",,,"96,744","136,444","281,178","145,893","95,643","164,493","414,039","469,337","224,472","143,085","153,603","264,161"
,Install,,"12,330,559","460,746","649,814","1,339,109","694,816","455,500","783,396","1,971,863","2,235,219","1,069,049","681,444","731,537","1,258,066",,,"120,931","170,555","351,472","182,366","119,554","205,616","517,549","586,671","280,590","178,857","192,004","330,200"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MemberSIB Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,   # of Buyer,,"400,001","14,946","21,080","43,440","22,540","14,776","25,413","63,967","72,510","34,680","22,106","23,731","40,811",,,,,,,,,,,,,,
,   Revenue,"12,000","4,800,006,000","179,355,600","252,957,600","521,283,600","270,475,200","177,314,400","304,959,600","767,599,200","870,123,600","416,156,400","265,269,600","284,774,400","489,736,800",,,,,,,,,,,,,,
,MemberSIB Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,   # of Buyer,,"40,000","1,495","2,108","4,344","2,254","1,478","2,541","6,397","7,251","3,468","2,211","2,373","4,081",,,,,,,,,,,,,,
,   Revenue,"120,000","4,800,006,000","179,355,600","252,957,600","521,283,600","270,475,200","177,314,400","304,959,600","767,599,200","870,123,600","416,156,400","265,269,600","284,774,400","489,736,800",,,,,,,,,,,,,,
,Passport Persib,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,   # of Buyer,,"4,444",166,234,483,250,164,282,711,806,385,246,264,453,,,,,,,,,,,,,,
,   Revenue,"5,500,000","24,444,475,000","913,385,000","1,288,210,000","2,654,685,000","1,377,420,000","902,990,000","1,553,035,000","3,909,070,000","4,431,185,000","2,119,315,000","1,350,910,000","1,450,240,000","2,494,030,000",,,,,,,,,,,,,,
,ARPU check,,,"76,600","76,600","76,600","76,600","76,600","76,600","76,600","76,600","76,600","76,600","76,600","76,600",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. TECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i. Tech Cost (Low),IDR,"2,031,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,   Proportion from Target Revenue,%,10.16%,,,,,,,,,,,,,,,,,,,,,,,,,,
,ii. Tech Cost (High),IDR,"2,239,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,   Proportion from Target Revenue,%,11.20%,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,"   [Infra] Forecasted Cost - Non-Ticket, Non Merch",IDR,"831,600,000","69,300,000","69,300,000","69,300,000","69,300,000","69,300,000","69,300,000","69,300,000","69,300,000","69,300,000","69,300,000","69,300,000","69,300,000",,,,,,,,,,,,,,
,      Current Infra Cost - All,USD,"6,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,"      Current Infra Cost - Non-Ticket, Non Merch",USD,"3,300",,,,,,,,,,,,,,,,,,,,,,,,,,
,      Add spike buffer for campaign/traffic events (including 28K RPS windows): +20%,USD,"3,960",,,,,,,,,,,,,,,,,,,,,,,,,,
,"      Forecasted Infra Cost - Non-Ticket, Non Merch",USD,"47,520",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,"   [Infra] Forecasted Cost - Non-Ticket, Non Merch",IDR,"1,039,500,000","86,625,000","86,625,000","86,625,000","86,625,000","86,625,000","86,625,000","86,625,000","86,625,000","86,625,000","86,625,000","86,625,000","86,625,000",,,,,,,,,,,,,,
,      Current Infra Cost - All,USD,"7,500",,,,,,,,,,,,,,,,,,,,,,,,,,
,"      Current Infra Cost - Non-Ticket, Non Merch",USD,"4,125",,,,,,,,,,,,,,,,,,,,,,,,,,
,      Add spike buffer for campaign/traffic events (including 28K RPS windows): +20%,USD,"4,950",,,,,,,,,,,,,,,,,,,,,,,,,,
,"      Forecasted Infra Cost - Non-Ticket, Non Merch",USD,"59,400",,,,,,,,,,,,,,,,,,,,,,,,,,
FC,   [Man Power],,"1,200,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B. MARKETING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marketing Cost,IDR,"3,720,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,   Proportion from Target Revenue,%,18.60%,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,   Tools (CRM + Attribution + Analytics),IDR,"1,200,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000",,,,,,,,,,,,,,
VC,   Acquisition Campaign,IDR,"360,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000",,,,,,,,,,,,,,
VC,   Spare for Tactical / Ad hoc,IDR,"360,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000",,,,,,,,,,,,,,
FC,   [Man Power],IDR,"1,800,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. REWARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i. Reward Cost without TADA,IDR,"5,100,002,500",,,,,,,,,,,,,,,,,,,,,,,,,,
,   Proportion from Target Revenue,%,25.50%,,,,,,,,,,,,,,,,,,,,,,,,,,
,ii. Reward Cost with TADA,IDR,"7,225,005,100",,,,,,,,,,,,,,,,,,,,,,,,,,
,   Proportion from Target Revenue,%,36.13%,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,   [Exclusive Content] Production,IDR,"2,500,000,000","208,333,333","208,333,333","208,333,333","208,333,333","208,333,333","208,333,333","208,333,333","208,333,333","208,333,333","208,333,333","208,333,333","208,333,333",,,,,,,,,,,,,,
,   [Prize] # of Redemption (10% from MPU),,"44,445","1,661","2,342","4,827","2,504","1,642","2,824","7,107","8,057","3,853","2,456","2,637","4,535",,,,,,,,,,,,,,
VC,   [Prize] Redemption Value ,IDR,"2,000,002,500","74,731,500.00","105,399,000.00","217,201,500.00","112,698,000.00","73,881,000.00","127,066,500.00","319,833,000.00","362,551,500.00","173,398,500.00","110,529,000.00","118,656,000.00","204,057,000.00",,,,,,,,,,,,,,
FC,   [Man Power],IDR,"600,000,000","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,,,,,,,,,,,,
,   [TADA],,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,      Annual Fee,IDR,"45,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
VC,      Deposit Cost,IDR,"2,000,002,500",,,,,,,,,,,,,,,,,,,,,,,,,,
VC,      Transcation Fee,IDR,"80,000,100",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D. PBI COMMISSION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Commission Cost,10%,"2,000,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,   Proportion from Target Revenue,%,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E. OPEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i. Fixed Cost,IDR,"10,235,550,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,   Proportion from Target Revenue,,51.18%,,,,,,,,,,,,,,,,,,,,,,,,,,
,ii.a. Variable Cost without TADA,IDR,"2,720,002,500",,,,,,,,,,,,,,,,,,,,,,,,,,
,   Proportion from Target Revenue,,13.60%,,,,,,,,,,,,,,,,,,,,,,,,,,
,ii.b. Variable Cost with TADA,IDR,"4,845,005,100",,,,,,,,,,,,,,,,,,,,,,,,,,
,   Proportion from Target Revenue,,24.23%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F. TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i. Total Cost without TADA,IDR,"12,955,552,500",,,,,,,,,,,,,,,,,,,,,,,,,,
,   Proportion from Target Revenue,,64.78%,,,,,,,,,,,,,,,,,,,,,,,,,,
,ii. Total Cost with TADA,IDR,"15,080,555,100",,,,,,,,,,,,,,,,,,,,,,,,,,
,   Proportion from Target Revenue,,75.40%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G. PBB gets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i. PBB gets (if without TADA),,"7,044,447,500",,,,,,,,,,,,,,,,,,,,,,,,,,
,   Proportion from Target Revenue,,35.22%,,,,,,,,,,,,,,,,,,,,,,,,,,
,iI. PBB gets (if with TADA),,"4,919,444,900",,,,,,,,,,,,,,,,,,,,,,,,,,
,   Proportion from Target Revenue,,24.60%,,,,,,,,,,,,,,,,,,,,,,,,,,